speakers,date,start_time,stop_time,transcript
SPEAKER_00,2024-03-28,17:52:19,17:52:22,"Hey, this is Bruce. I'm testing my program."
SPEAKER_01,2024-03-28,17:52:24,17:52:27,"You put it in a teapot it becomes the teapot."
SPEAKER_00,2024-03-28,17:57:07,17:57:11,"Hello, this is Bruce. I'm testing my program. I hope it works."
SPEAKER_01,2024-03-28,17:57:11,17:57:15,"What into a bottle it becomes the bottle you put in your cheaper it becomes"
SPEAKER_00,2024-03-28,17:59:28,17:59:34,"Hello this is Bruce I'm testing my program I hope it walks"
SPEAKER_01,2024-03-28,17:59:34,17:59:38,"How it can crash. Be water, my friend."
SPEAKER_00,2024-03-28,18:59:23,18:59:26,"Hello this is Bruce, I'm testing my speech to a taxo program."
SPEAKER_01,2024-03-28,18:59:30,18:59:31,"Be water, my friend."
SPEAKER_01,2024-03-30,16:14:42,16:14:47,"Hi, this is Bruce. I'm testing my program."
SPEAKER_00,2024-03-30,16:14:47,16:14:57,"I am also testing hello hello can I can you even hear me I will I even be audible actually okay anyways I am testing as well."
SPEAKER_01,2024-04-05,17:13:09,17:13:10,"Let me take the light."
SPEAKER_00,2024-04-05,17:13:03,17:13:06,"Hi, this is Surprise, I'm with Bruce."
SPEAKER_00,2024-04-06,16:36:18,16:36:21,"Hello, this is Bruce, I'm testing my program."
SPEAKER_01,2024-04-06,16:36:22,16:36:28,"It's Sunday morning on the last day of September."
SPEAKER_00,2024-04-06,16:38:49,16:38:52,"Hello, this is Bruce and I'm testing my program."
SPEAKER_01,2024-04-06,16:38:53,16:38:58,"It's Sunday morning on the last day of September."
SPEAKER_00,2024-04-14,02:25:27,02:25:30,"Hello, this is Hombo. I'm testing my program."
SPEAKER_01,2024-04-14,02:25:32,02:25:33,"Be water my friends."
SPEAKER_00,2024-08-16,20:34:11,20:34:14,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:34:16,20:34:17,"Be water my friend."
SPEAKER_00,2024-08-16,20:34:22,20:34:25,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:34:27,20:34:28,"Be water my friend."
SPEAKER_00,2024-08-16,20:48:51,20:48:54,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:48:56,20:48:57,"Be water my friend."
SPEAKER_00,2024-08-16,20:50:46,20:50:49,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:50:51,20:50:52,"Be water my friend."
SPEAKER_00,2024-08-16,20:51:45,20:51:48,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:51:50,20:51:51,"Be water my friend."
SPEAKER_00,2024-08-16,20:56:35,20:56:38,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-16,20:56:40,20:56:42,"Be water my friend."
SPEAKER_00,2024-08-17,23:53:44,23:53:47,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,23:53:49,23:53:50,"Be water my friend."
SPEAKER_00,2024-08-17,23:54:37,23:54:40,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,23:54:42,23:54:43,"Be water my friend."
SPEAKER_00,2024-08-18,00:03:30,00:03:33,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-18,00:03:35,00:03:37,"Be water my friend."
SPEAKER_00,2024-08-17,20:18:36,20:18:39,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:18:41,20:18:42,"Be water my friend."
SPEAKER_00,2024-08-17,20:21:53,20:21:56,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:21:58,20:22:00,"Be water my friend."
SPEAKER_00,2024-08-17,20:23:51,20:23:54,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:23:56,20:23:57,"Be water my friend."
SPEAKER_00,2024-08-17,20:24:51,20:24:54,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:24:56,20:24:58,"Be water my friend."
SPEAKER_00,2024-08-17,20:32:55,20:32:58,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:33:00,20:33:02,"Be water my friend."
SPEAKER_00,2024-08-17,20:42:15,20:42:18,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:42:20,20:42:21,"Be water my friend."
SPEAKER_00,2024-08-17,20:43:31,20:43:34,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-17,20:43:36,20:43:37,"Be water my friend."
SPEAKER_00,2024-08-18,05:17:36,05:17:39,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-18,05:17:41,05:17:43,"Be water my friend."
SPEAKER_00,2024-08-18,05:18:50,05:18:53,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-18,05:18:55,05:18:56,"Be water my friend."
SPEAKER_00,2024-08-18,05:19:34,05:19:37,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-18,05:19:39,05:19:41,"Be water my friend."
SPEAKER_00,2024-08-18,05:25:38,05:25:41,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-18,05:25:43,05:25:44,"Be water my friend."
SPEAKER_00,2024-08-18,05:29:11,05:29:14,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-18,05:29:16,05:29:17,"Be water my friend."
SPEAKER_00,2024-08-19,08:17:17,08:17:20,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-19,08:17:22,08:17:23,"Be water my friend."
SPEAKER_00,2024-08-19,12:28:17,12:28:20,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-19,12:28:22,12:28:23,"Be water my friend."
SPEAKER_00,2024-08-19,12:55:37,12:55:40,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-19,12:55:37,12:55:39,"Be water my friend."
SPEAKER_00,2024-08-19,13:16:38,13:17:27,"Heart attacks also called myocardial infarctions. Chest pain is the most common warning sign of a heart attack, but there can be other symptoms too. A heart attack happens when blood flow to the heart is blocked or cut off. If there's not sufficient oxygen-rich blood flowing to the heart, it can cause damage to the affected area. As a result, the heart muscles begin to die. General symptoms for a heart attack include chest pain or discomfort, shortness of breath, pain in my arm, shoulder or neck, nausea, sweating, lightheadedness or dizziness, upper body pain, trouble breathing, vomiting, pain in the upper back or jaw, dizziness or lightheadedness, extreme fatigue, stable angina, physical exertion, stress, unstable angina, unpredictable."
SPEAKER_00,2024-08-19,13:28:58,13:29:01,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-19,13:29:03,13:29:05,"Be water my friend."
SPEAKER_00,2024-08-19,13:30:10,13:30:59,"Heart attacks also called myocardial infarctions. Chest pain is the most common warning sign of a heart attack, but there can be other symptoms too. A heart attack happens when blood flow to the heart is blocked or cut off. If there's not sufficient oxygen-rich blood flowing to the heart, it can cause damage to the affected area. As a result, the heart muscles begin to die. General symptoms for a heart attack include chest pain or discomfort, shortness of breath, pain in my arm, shoulder or neck, nausea, sweating, lightheadedness or dizziness, upper body pain, trouble breathing, vomiting, pain in the upper back or jaw, dizziness or lightheadedness, extreme fatigue, stable angina, physical exertion, stress, unstable angina, unpredictable."
SPEAKER_00,2024-08-19,13:38:41,13:38:44,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-08-19,13:38:46,13:38:47,"Be water my friend."
SPEAKER_00,2024-08-21,20:37:51,20:38:00,"Yes, please teach me from the fundamentals. Ok, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,20:40:13,20:40:18,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,20:59:35,20:59:39,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-08-21,20:59:30,20:59:33,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-08-21,21:41:38,21:41:40,"Hi, do you want an unboxing?"
SPEAKER_00,2024-08-21,21:41:41,21:41:45,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-08-21,21:41:46,21:41:51,"Okay, first of all you need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,22:03:54,22:03:56,"Do you want to know boxing?"
SPEAKER_00,2024-08-21,22:03:57,22:04:00,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,22:04:01,22:04:03,"Okay, first of all..."
SPEAKER_01,2024-08-21,22:04:03,22:04:06,"you need to learn the basics boxing stance."
SPEAKER_01,2024-08-21,22:06:09,22:06:11,"Do you want to name boxing?"
SPEAKER_00,2024-08-21,22:06:12,22:06:15,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,22:06:16,22:06:18,"Okay, first of all..."
SPEAKER_01,2024-08-21,22:06:18,22:06:21,"You need to learn the basic boxing stance."
SPEAKER_01,2024-08-21,22:09:42,22:09:45,"Do you want to learn boxing?"
SPEAKER_00,2024-08-21,22:09:46,22:09:48,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-21,22:09:49,22:09:51,"Okay, first of all..."
SPEAKER_01,2024-08-21,22:09:51,22:09:54,"you need to learn the boxing stance."
SPEAKER_01,2024-08-22,12:00:36,12:00:39,"Do you want to learn boxing?"
SPEAKER_00,2024-08-22,12:00:39,12:00:42,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-22,12:00:43,12:00:45,"Okay, first of all..."
SPEAKER_01,2024-08-22,12:00:45,12:00:48,"you need to learn the boxing stance."
SPEAKER_01,2024-08-22,12:27:12,12:27:15,"Do you want to learn boxing?"
SPEAKER_00,2024-08-22,12:27:15,12:27:18,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-22,12:27:19,12:27:20,"Okay, first of all..."
SPEAKER_01,2024-08-22,12:27:21,12:27:24,"you need to learn the boxing stance."
SPEAKER_01,2024-08-23,12:11:47,12:11:50,"Do you want to learn boxing?"
SPEAKER_00,2024-08-23,12:11:51,12:11:53,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-08-23,12:11:54,12:11:56,"Okay, first of all..."
SPEAKER_01,2024-08-23,12:11:56,12:11:59,"you need to learn the boxing stance."
SPEAKER_00,2024-09-01,20:52:49,20:52:52,"Hello, this is Bruce. I'm testing my program."
SPEAKER_01,2024-09-01,20:52:53,20:52:55,"Be water my friend."
SPEAKER_00,2024-09-01,20:54:02,20:54:04,"Hi, do you want an unboxing?"
SPEAKER_00,2024-09-01,20:54:05,20:54:09,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-09-01,20:54:10,20:54:15,"Okay, first of all you need to learn the basic boxing stance."
SPEAKER_01,2024-09-01,21:00:02,21:00:04,"Do you want to learn boxing?"
SPEAKER_00,2024-09-01,21:00:05,21:00:08,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-09-01,21:00:09,21:00:10,"Okay, first of all..."
SPEAKER_01,2024-09-01,21:00:11,21:00:14,"you need to learn the boxing stance."
SPEAKER_01,2024-09-01,21:01:29,21:01:31,"Do you want to then borg things?"
SPEAKER_00,2024-09-01,21:01:33,21:01:36,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-09-01,21:01:37,21:01:42,"Okay, first of all, you need to learn the basic boxing stance."
SPEAKER_00,2024-09-07,12:15:51,12:15:52,"Hi, do you want an unboxing?"
SPEAKER_00,2024-09-07,12:15:54,12:15:57,"Yes, please teach me from the fundamentals."
SPEAKER_00,2024-09-07,12:15:58,12:16:03,"Okay, first of all you need to learn the basic boxing stance."
SPEAKER_01,2024-09-07,12:16:13,12:16:16,"Do you want to learn boxing?"
SPEAKER_00,2024-09-07,12:16:16,12:16:19,"Yes, please teach me from the fundamentals."
SPEAKER_01,2024-09-07,12:16:20,12:16:22,"Okay, first of all..."
